ATTITUDE {time_boot_ms : 830609, roll : -0.08856762200593948, pitch : -0.023302409797906876, yaw : -2.210235834121704, rollspeed : 2.067815512418747e-05, pitchspeed : -0.0004871370329055935, yawspeed : -0.0003430038341321051}
ATTITUDE {time_boot_ms : 830660, roll : -0.08857330679893494, pitch : -0.023219626396894455, yaw : -2.2102324962615967, rollspeed : -0.00016374140977859497, pitchspeed : 0.0019423128105700016, yawspeed : 0.0008716078009456396}
ATTITUDE {time_boot_ms : 830709, roll : -0.08856748044490814, pitch : -0.02305695042014122, yaw : -2.210249423980713, rollspeed : 0.00036984251346439123, pitchspeed : 0.002878459170460701, yawspeed : -9.273790055885911e-05}
ATTITUDE {time_boot_ms : 830760, roll : -0.08852799236774445, pitch : -0.02304607257246971, yaw : -2.210231304168701, rollspeed : 0.001347993384115398, pitchspeed : -0.0009740657988004386, yawspeed : 5.6041404604911804e-05}
ATTITUDE {time_boot_ms : 830809, roll : -0.08850312978029251, pitch : -0.023054633289575577, yaw : -2.210263252258301, rollspeed : -0.00013955635949969292, pitchspeed : 0.0012068279320374131, yawspeed : -0.00027504219906404614}
ATTITUDE {time_boot_ms : 830859, roll : -0.08854016661643982, pitch : -0.022980257868766785, yaw : -2.2102513313293457, rollspeed : -0.00018556439317762852, pitchspeed : 0.0013030944392085075, yawspeed : 0.0007529700524173677}
ATTITUDE {time_boot_ms : 830909, roll : -0.0884723886847496, pitch : -0.022867735475301743, yaw : -2.210266590118408, rollspeed : 0.000473098480142653, pitchspeed : 0.0017544329166412354, yawspeed : 0.00012151821283623576}
ATTITUDE {time_boot_ms : 830959, roll : -0.08843161165714264, pitch : -0.02272973209619522, yaw : -2.2102723121643066, rollspeed : 0.00030578800942748785, pitchspeed : 0.0022145803086459637, yawspeed : 0.00020626315381377935}
ATTITUDE {time_boot_ms : 831010, roll : -0.08847738057374954, pitch : -0.022550318390130997, yaw : -2.210298538208008, rollspeed : -0.0019411547109484673, pitchspeed : 0.003335803747177124, yawspeed : -0.00018290948355570436}
ATTITUDE {time_boot_ms : 831060, roll : -0.0884854719042778, pitch : -0.02248449996113777, yaw : -2.2103257179260254, rollspeed : 0.0002534184604883194, pitchspeed : 0.0001746626803651452, yawspeed : -0.00025938794715330005}
ATTITUDE {time_boot_ms : 831109, roll : -0.08846098184585571, pitch : -0.02254972606897354, yaw : -2.2103168964385986, rollspeed : 0.000576909864321351, pitchspeed : -0.0021914595272392035, yawspeed : 0.00011677230941131711}
